STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Landrieu 2014 Senate D,Cassidy 2014 Senate R
LA,LA House 1,"4,542","14,526","5,205","13,845","3,318","8,080"
LA,LA House 2,"10,854","2,501","12,675","2,776","7,537","1,470"
LA,LA House 3,"13,892",914,"15,644","1,029","9,723",589
LA,LA House 4,"11,810","3,981","13,520","4,311","8,847","2,600"
LA,LA House 5,"6,523","12,215","6,069","13,409","4,256","8,396"
LA,LA House 6,"5,509","13,357","5,132","15,174","3,540","9,365"
LA,LA House 7,"6,061","16,037","5,955","15,497","4,368","9,467"
LA,LA House 8,"4,564","13,458","4,537","13,790","2,656","8,609"
LA,LA House 9,"4,595","15,304","4,585","14,453","2,890","8,376"
LA,LA House 10,"6,434","12,449","7,037","12,263","5,026","7,645"
LA,LA House 11,"8,936","5,938","10,132","6,071","6,476","4,021"
LA,LA House 12,"4,717","16,708","5,212","16,218","3,457","10,863"
LA,LA House 13,"5,720","14,312","6,376","13,876","4,817","8,837"
LA,LA House 14,"4,736","16,657","4,977","16,517","3,500","11,072"
LA,LA House 15,"1,969","19,899","2,111","19,206","1,551","12,694"
LA,LA House 16,"9,906","4,971","11,161","5,265","6,764","3,212"
LA,LA House 17,"11,819","3,602","12,992","3,823","7,673","2,336"
LA,LA House 18,"7,920","11,429","8,708","10,947","6,768","6,429"
LA,LA House 19,"5,495","14,143","6,180","13,770","4,464","9,531"
LA,LA House 20,"4,355","15,442","5,175","14,431","3,724","10,179"
LA,LA House 21,"9,243","7,687","10,877","7,637","6,995","4,608"
LA,LA House 22,"3,014","16,091","3,570","15,618","2,356","9,665"
LA,LA House 23,"10,345","5,607","11,485","6,120","6,926","3,588"
LA,LA House 24,"2,481","17,456","3,231","16,156","2,087","10,566"
LA,LA House 25,"4,863","16,448","5,071","15,522","3,734","10,547"
LA,LA House 26,"10,824","3,745","11,807","4,140","7,137","2,572"
LA,LA House 27,"2,635","16,623","3,167","17,531","2,395","12,004"
LA,LA House 28,"5,035","11,165","6,077","10,670","4,411","7,406"
LA,LA House 29,"15,504","3,243","16,138","3,450","10,871","2,282"
LA,LA House 30,"3,319","7,020","3,734","6,810","2,174","4,189"
LA,LA House 31,"3,724","17,843","3,292","16,547","2,351","10,853"
LA,LA House 32,"3,203","14,632","3,955","13,624","2,570","8,112"
LA,LA House 33,"2,671","15,206","3,421","13,660","2,085","7,614"
LA,LA House 34,"14,316","3,619","15,158","3,523","9,031","1,996"
LA,LA House 35,"2,966","15,326","3,508","15,171","2,311","8,812"
LA,LA House 36,"4,483","15,792","4,320","15,586","3,141","9,987"
LA,LA House 37,"4,396","15,553","4,856","13,993","3,281","7,919"
LA,LA House 38,"5,631","13,970","7,086","13,691","5,362","8,577"
LA,LA House 39,"6,575","14,581","6,503","13,730","4,467","8,571"
LA,LA House 40,"11,380","7,269","13,023","7,326","9,105","4,798"
LA,LA House 41,"4,356","15,722","5,014","14,455","3,605","9,914"
LA,LA House 42,"4,239","11,951","4,959","11,648","3,633","7,426"
LA,LA House 43,"3,601","17,474","3,175","16,430","2,047","11,001"
LA,LA House 44,"11,937","4,117","12,318","4,174","7,456","2,580"
LA,LA House 45,"5,141","11,968","4,706","13,199","2,995","8,618"
LA,LA House 46,"5,213","15,831","5,776","14,883","4,062","8,837"
LA,LA House 47,"4,026","15,698","4,813","15,036","3,087","8,656"
LA,LA House 48,"3,829","17,071","3,941","15,569","2,874","10,403"
LA,LA House 49,"4,722","14,021","5,455","13,360","3,485","7,603"
LA,LA House 50,"7,332","11,992","8,661","11,299","5,332","6,392"
LA,LA House 51,"4,702","12,308","5,265","10,959","3,719","5,956"
LA,LA House 52,"3,359","14,436","3,731","14,145","3,172","8,130"
LA,LA House 53,"4,256","12,654","5,071","11,434","4,027","6,268"
LA,LA House 54,"2,018","15,103","2,771","13,487","3,135","6,063"
LA,LA House 55,"6,165","14,626","6,580","13,249","5,017","7,877"
LA,LA House 56,"5,982","15,612","6,234","15,057","4,856","8,566"
LA,LA House 57,"13,345","6,157","13,664","6,201","9,402","3,325"
LA,LA House 58,"12,598","4,884","13,970","4,986","9,864","2,810"
LA,LA House 59,"5,356","16,345","4,604","15,259","3,390","9,752"
LA,LA House 60,"9,185","11,761","10,818","11,271","8,159","7,496"
LA,LA House 61,"14,310","2,074","14,810","2,476","9,473","1,543"
LA,LA House 62,"8,930","12,578","9,394","12,319","7,254","8,136"
LA,LA House 63,"13,891","3,484","14,971","3,732","9,287","2,319"
LA,LA House 64,"4,089","17,407","3,977","15,904","3,110","9,950"
LA,LA House 65,"5,648","15,686","5,384","15,869","4,074","10,592"
LA,LA House 66,"5,800","15,601","5,027","16,449","3,676","11,561"
LA,LA House 67,"10,613","2,251","10,964","2,468","6,808","1,409"
LA,LA House 68,"7,198","9,574","6,700","11,099","4,926","7,581"
LA,LA House 69,"6,614","11,817","6,038","13,771","4,370","9,818"
LA,LA House 70,"7,901","9,473","7,210","10,963","5,338","7,435"
LA,LA House 71,"2,410","12,883","2,564","14,324","1,788","8,938"
LA,LA House 72,"11,502","6,502","12,568","6,656","8,430","4,033"
LA,LA House 73,"4,534","15,195","4,549","13,486","3,448","8,644"
LA,LA House 74,"3,713","18,388","3,907","16,402","3,461","10,510"
LA,LA House 75,"5,149","10,302","5,867","9,856","4,396","5,898"
LA,LA House 76,"5,939","13,155","5,258","12,533","4,054","7,450"
LA,LA House 77,"4,792","19,421","4,263","16,957","3,868","11,852"
LA,LA House 78,"5,011","15,256","4,462","15,718","3,842","9,197"
LA,LA House 79,"5,489","13,110","4,691","13,989","3,676","8,792"
LA,LA House 80,"5,466","12,695","4,822","12,993","3,687","7,586"
LA,LA House 81,"5,503","16,961","5,838","14,153","4,405","8,173"
LA,LA House 82,"7,077","14,685","5,890","15,160","5,024","8,885"
LA,LA House 83,"12,319","6,047","12,857","5,517","8,479","2,595"
LA,LA House 84,"5,230","11,887","5,273","11,233","4,519","5,419"
LA,LA House 85,"8,121","7,504","7,930","8,057","5,365","4,333"
LA,LA House 86,"3,911","12,187","4,029","11,609","2,867","6,683"
LA,LA House 87,"10,270","3,298","10,501","3,429","6,991","1,710"
LA,LA House 88,"4,388","15,911","4,634","14,784","3,293","8,476"
LA,LA House 89,"4,228","16,660","3,666","16,670","3,399","11,695"
LA,LA House 90,"5,346","14,111","5,135","13,166","4,122","7,920"
LA,LA House 91,"20,926","2,317","18,815","2,690","12,380","1,439"
LA,LA House 92,"8,495","7,645","8,341","7,902","5,607","4,343"
LA,LA House 93,"17,182","2,101","15,931","2,317","9,942","1,262"
LA,LA House 94,"9,343","13,024","8,185","14,362","6,779","8,551"
LA,LA House 95,"2,011","15,031","2,195","13,791","1,665","7,865"
LA,LA House 96,"9,965","6,169","11,381","6,101","6,931","3,791"
LA,LA House 97,"20,576","1,814","20,357","1,897","14,413","1,060"
LA,LA House 98,"18,195","5,270","15,325","6,623","10,928","3,612"
LA,LA House 99,"19,289",842,"18,752",710,"12,186",388
LA,LA House 100,"14,442",807,"15,566",879,"10,792",450
LA,LA House 101,"12,145","3,140","12,649","4,167","8,245","2,717"
LA,LA House 102,"13,868","2,874","13,408","3,438","9,865","1,997"
LA,LA House 103,"6,682","11,374","6,766","9,609","6,036","5,264"
LA,LA House 104,"5,177","14,343","5,133","13,656","3,963","8,419"
LA,LA House 105,"8,138","9,334","7,973","9,104","6,582","5,976"
